author_name,rating,content
Quanthis,5,"Apka działa szybko, nie zacina się, a nawet dodano opcję szybkiego przełączania kont"
Krzysztof Poćwiardowski,4,"Generalnie OK. Przydałoby się parę usprawnień: sortowanie listy walorów, zaznaczanie na wykresie dat dywidend jak w wersji webowej, po kliknięciu w ustawiony alarm powinni nas przenieść do konkretnego waloru z ustawionym alarmem."
Jarosław Kupczak,5,bb
Thor Ragnarok,1,Malo czytelna w porownaniu do wersji na kąkuter
marek salach,5,Ok
Piotr Olszewski (asmie),5,Works very well. I really like it!
Przemek R,5,Jestem użytkownikiem od dwóch lat. Najlepsza apka i najlepszy broker. Tak trzymać!
Kamil Pucyk,5,Heyu
Jaromił Mierzaniec,4,Przydałaby siebie jeszcze synchronizacja adnotacji rysowanych na wykresach przechodzących z apki do Xstation5 i odwrotnie
Pawel Szczepanowski,4,"Aplikacja spoko, intuicyjna, prosta w obsludze ale przy zamykaniu zlecen same się otwierają zlecenia oczekujące."
Adriano,1,"Bezuzyteczna aplikacja,malo wskaznikow,nic na nich nie widac ,brak mozliwosci rozciagniecia w poziomie oraz pionie.Zainwestujcie w aplikacje a nie w gownianych celebrytow! Zamykam konto i spadam na TradingViev!"
Jòzef Sadowski,1,"Na początku było ok potem coraz większe różnice pomiędzy ofertą zakup sprzedaż gdzie te same akcje u konkurencji miały przedział rozbieżności max 0,45euro to w XTB różnica już wychodziła na prawie 2 euro na szt dodam że w tym samym czasie na 3 platformach różnica zakup sprzedaż nie przekraczała 0,1 euro pazerność XTB w szukaniu zarobków widoczna jak na dłoni. Odbyłem kilka rozmów z pomocą wskazując na błąd w programie i uzyskiwałem informację że to nie błąd. Zdecydowanie nie polecam."
kamil oko,1,Zdecydowałem się na tą aplikacje ale niestety po długim i mozolnym wypełnianiu odpowiadaniu na głupie pytania stwierdziłem że jest do niczego.... Po co komu wiedzieć te niektóre pytania są bez sensu. Ile inwestować gdzie co .... A jaki masz kolor papieru w kiblu też może chcecie wiedzieć Za wiele chcą wiedzieć i wyciągają informacje chyba zrezygnuję z tej aplikacji Również po przeczytaniu opinii ... jest bardzo słaba aplikacja nawet do końca się nie zalogowałem 👎
Kamil Skupintzky,3,"Potwierdzanie transakcji w nowej wersji na calym ekranie jest moim zdaniem zlym rozwiązaniem, zasłania wykres"
